Description,ID,Labeled?,Current-Location,DIY?,Category,Sub-category,Material,Style,Point-size,Dimensions,Typehigh,Upper-case,Lower-case,Punctuation,Numbers,Abnormal-pack-size,1-of-multiple-packs-exact-style-size,Multiple-per-char,Missing-chars,More-typefamily,Donator,Donation-notes,Notes,Block-print-file-in-directory,Block-photo-flipped,Print-photo,Tags
Fancydog (long-legged Maple; dog) #1,awv-133,no,AWV,"Yes, AWV",Not type,Illustration,Craft foam,,,,❌,,,,,,,,,,,,,,,,
Greyhound #2,awv-134,no,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,,,"Dog, Animals"
"""glitch"" (inverse)",awv-135,no,AWV,"Yes, AWV",Not type,Catchword or lone sort,Wood (maple),,,,✅,,,,,,,,,,,,,Yes,,,"DH, LGBTQIA+"
"""Little Orphan Annie"" 3-panel comic strip",awv-136,no,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,"Purchased to experiment with milling away text in speech bubbles, for replacement with second-pass registered custom text",,,,
"""Announcing"" (man with megaphone)",awv-137,yes,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,,,,Manicule-ish
Tree & leaves L-shaped border,awv-086,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,Plant
Woman looking through binoculars,awv-088,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,,,,Retro tech
Tea cannister,awv-140,,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
Victorian lady with camera,awv-141,no,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,"Yes, but could use sharper version once block arrives",,Retro tech
"""Speaking in Faces"" by the Virginia Humanities Center for the Book: Book Arts Program",book-awv-001,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,"Part of Letterpress Core class materials, August 2024.",,"Bound specimen book for the Virginia Humanities Center for the Book: Book Arts Program printshop's hundreds of metal and wood type cases, plus information on how to understand basic typography and difference between similar type families.",,,,N/a
"""Letterpress Core"" packet by Virginia Center for the Book: Book Arts Program",book-awv-002,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,"Part of Letterpress Core class materials, August 2024.",,"25-page packet printed on cardstock, containing glossary with long definitions of various letterpress terms, explanation of letterpress point sizes, discussion of Vandercook parts, etc.",,,,N/a
"""Pressmen's Ink Handbook"" by H.J. Wolfe",book-awv-003,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,Garrett Queen,,Book on chemistry behind letterpress ink creation (and mixing?); at least several decades old.,,,,N/a
"""Letterpress Now: A DIY Guide to New & Old Printing Methods"" by Jessica C. White",book-awv-004,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,,,,,,,N/a
"""Cheap Copies! The OBSOLETE! Press Guide to DIY Hectography, Mimeography & Spirit Duplication"" by Rich Dane",book-awv-005,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,,,"For University of Virginia Rare Book School Summer 2025 class on ""Identifying and Understanding Twentieth-Century Duplicating Technologies"".",,,,N/a
"""How to Identify Prints"" (2nd ed.) by Bamber Gascoigne ",book-awv-006,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,,,"For University of Virginia Rare Book School Summer 2025 class on ""Identifying and Understanding Twentieth-Century Duplicating Technologies"".",,,,N/a
"""Studying Early Printed Books, 1450-1800"" by Sarah Werner",book-awv-007,no,AWV,,Not type,Book/packet,,,,,n/a,,,,,,,,,,,,,,,,N/a
Wood type (TBD),awvloan-,no,AWV,,Type,Wood type,Wood,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,,,,N/a
Metal type (TBD),awvloan-,no,AWV,,Type,Metal type,Lead,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,,,,N/a
"Any other donated items, including 2 boxes, unmounted cuts",awvloan-,no,AWV,,,,,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,n/a,,,
Unnamed brush script (name TBD) & special italic spacing,awvloan-001,yes,SLab,,Type,Wood type,Wood,Italic,TBD,,✅ (?),Yes,Yes,,Yes,no,no,Yes (# TBD),,no,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment.,Comes with wood spacing because the spacing needs to be diagonal to work. ,Yes,,,N/a
Em fractions (spaces?),awvloan-002,yes,SLab,,Not type,Spacing,Lead?,,10pt,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,,,,
Spaces pack,awvloan-003,yes,SLab,,Not type,Spacing,Lead?,,30pt,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,,,,
Spaces pack,awvloan-004,yes,SLab,,Not type,Spacing,Lead?,,36pt,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,,,,
Quads & spaces pack,awvloan-005,yes,SLab,,Not type,Spacing,Lead?,,48pt,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,,,,
Quads & spaces pack,awvloan-006,yes,SLab,,Not type,Spacing,Lead?,,72pt,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,,,,
Wooden reglets,awvloan-007,yes,SLab,,Not type,Spacing,Wood,,,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 and 2/6/2025 Letterpress Friend donor shipments. ,,Yes,,,
Leading,awvloan-008,yes,SLab,,Not type,Spacing,Lead?,,,,,,,,,,,,,,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment.,,,,,
Wooden spacing blocks,awvloan-009,yes,SLab,,Not type,Spacing,Wood,,,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,,,,
Composing stick,awvloan-010,yes,SLab,,Not type,Tools,Steel?,,,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,,Yes,,,
Printers' ruler (metal),awvloan-011,yes,SLab,,Not type,Tools,Steel?,,,,,,,,,,,,,,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment.,,,,,
Printers' ruler (wood),awvloan-012,yes,SLab,,Not type,Tools,Wood,,,,,,,,,,,,,,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment.,,,,,
Old mounting block x 6(?),awvloan-013,yes,SLab,,Not type,Tools,Wood,,,,,,,,,,,,,,Brian Browning (Michigan),From 1/23/2025 and 2/6/2025 Letterpress Friend donor shipments. ,"3 large, 3 medium?",,,,
Quoin key & 3 quoins,awvloan-014,yes,SLab,,Not type,Tools,Steel?,,,,,,,,,,,,,,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment.,,,,,
3 full-size California type drawers,awvloan-015,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,John and Nancy Johnson (VA),"From 2/18/2025 2nd Letterpress Helper (DC suburbs) donated, Jeremy picked up in car, brought to Amanda's for refurbishment and cleaning and type distribution & cabinet holder building, before deciding where to put in SLab (Summer 2025 goal?). Part of 14 total shelves from that donation, but 11 are listed on a separate line due to these 3's gross webs/nests that I didn't feel up to cleaning out yet, so taped over and stored in my basement. The are 11 non-gross shelves stored in my living room currently.",,,,n/a,
1 smaller type drawer without dividers,awvloan-016,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,John and Nancy Johnson (VA),"From 2/18/2025 2nd Letterpress Helper (DC suburbs) donated, Jeremy picked up in car, brought to Amanda's for refurbishment and cleaning and type distribution & cabinet holder building, before deciding where to put in SLab (Summer 2025 goal?)",,,,n/a,
Planer block #1,awvloan-017,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,John and Nancy Johnson (VA),"From 2/18/2025 2nd Letterpress Helper (DC suburbs) donated, Jeremy picked up in car, brought to Amanda's for refurbishment and cleaning and type distribution & cabinet holder building, before deciding where to put in SLab (Summer 2025 goal?)",For leveling type on press bed.,,,n/a,
Slug cutter #1,awvloan-018,no,AWV,,Not type,Tools,Iron,,,,,,,,,,,,,,John and Nancy Johnson (VA),"* From 2/18/2025 2nd Letterpress Helper (DC suburbs) donated, Jeremy picked up in car, brought to Amanda's for refurbishment and cleaning and type distribution & cabinet holder building, before deciding where to put in SLab (Summer 2025 goal?).","* There is a part missing on the top: a slide that would be used to set the length of slug. You could use a good magnet to set the length. The slide on the bottom does move, but could use some cleaning and oiling. It can also be used to set the length of slug being cut.",,,n/a,
Caslon,awvloan-019,yes,SLab,,Type,Metal type,Lead,,"50? 60?pt, TBD",,✅,,,,,Large,no,,no,no,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used ""American Type Foundry"" packaging when arrived",,,,N/a
Bond Script,awvloan-020,yes,SLab,,Type,Metal type,Lead,Regular,18pt,,✅,no,no,no,Yes,no,no,no,no,no,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used packaging when arrived, labeled in black marker",,,,N/a
Eccliastic,awvloan-021,yes,SLab,,Type,Metal type,Lead,TBD,TBD,,✅,Yes,Yes,TBD,TBD,No,No,TBD,no,TBD,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used ""typefounders inc. foundry type"" packaging when arrived.",,,,N/a
Bodoni,awvloan-022,yes,SLab,,Type,Metal type,Lead,Bold,10pt,,✅,Yes,no,,no,,,,no,Yes,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""AUG 29"".",,,,N/a
Bodoni,awvloan-023,yes,SLab,,Type,Metal type,Lead,Bold,10pt,,✅,no,Yes,,no,,,,no,Yes,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""AUG 28"".",,,,N/a
Bodoni,awvloan-024,yes,AWV,,Type,Metal type,Lead,Bold,18pt,,✅,no,Yes,,,no,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""JUL 28"".",,,,N/a
Coronet,awvloan-025,yes,SLab,,Type,Metal type,Lead,Bold,18pt,,✅,no,Yes,,no,,,,no,Yes,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""NOV-9"".",,,,N/a
Coronet,awvloan-026,yes,SLab,,Type,Metal type,Lead,Bold,18pt,,✅,Yes,no,,no,,,,no,Yes,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""NOV-8"".",,,,N/a
Coronet,awvloan-027,yes,SLab,,Type,Metal type,Lead,Bold,24pt,,✅,Yes,no,,no,no,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""OCT 15"".",,,,N/a
Coronet,awvloan-028,yes,SLab,,Type,Metal type,Lead,Bold,30pt,,✅,no,Yes,,no,,,,no,Yes,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""DEC 2"".",,,,N/a
Copperplate,awvloan-029,yes,SLab,,Type,Metal type,Lead,Heavy,12pt,,✅,Yes,,,,no,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""SEP 5""",,,,N/a
Copperplate (#1 of 2 in type style),awvloan-030,yes,SLab,,Type,Metal type,Lead,Heavy,6pt,,✅,Yes,,,,no,Yes,1 of multiple packs,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""MAY-8""",,,,N/a
Copperplate (#2 of 2 in type style),awvloan-031,yes,SLab,,Type,Metal type,Lead,Heavy,6pt,,✅,Yes,,,,no,Yes,1 of multiple packs,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""AUG 28""",,,,N/a
Coronet,awvloan-032,yes,SLab,,Type,Metal type,Lead,Light,36pt,,✅,no,Yes,,no,,,,no,Yes,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""MAY 1"" (difficult to read, may be incorrect).",,,,N/a
Copperplate (#1 of 2 in type style),awvloan-033,yes,SLab,,Type,Metal type,Lead,Light,6pt,,✅,Yes,,,,no,Yes,1 of multiple packs,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""NOW 23""",,,,N/a
Copperplate (#2 of 2 in type style),awvloan-034,yes,SLab,,Type,Metal type,Lead,Light,6pt,,✅,Yes,,,,no,Yes,1 of multiple packs,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""NOV 27""",,,,N/a
Rustic (#1 of 2),awvloan-035,yes,SLab,,Type,Metal type,Lead,Regular,12pt,,✅,Yes,no,,no,no,Yes,1 of multiple packs,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived.",,,,N/a
Rustic (#2 of 2),awvloan-036,yes,SLab,,Type,Metal type,Lead,Regular,12pt,,✅,Yes,no,,no,no,Yes,1 of multiple packs,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment.,"In unopened, never-used Detroit Type Foundry packaging when arrived.",,,,N/a
Bodoni,awvloan-037,yes,SLab,,Type,Metal type,Lead,Regular,20pt,,✅,,,,,no,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used packaging when arrived, labeled in red pencil or pen",,,,N/a
Rustic,awvloan-038,yes,SLab,,Type,Metal type,Lead,Regular,36pt,,✅,Yes,no,,no,Large,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived",,,,N/a
Bodoni,awvloan-039,yes,SLab,,Type,Metal type,Lead,Ultra,36pt,,✅,Yes,,,,Large,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""MAR"".",,,,N/a
Bodoni,awvloan-040,yes,SLab,,Type,Metal type,Lead,Ultra,36pt,,✅,no,Yes,,,Large,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived; packaging marked ""MAR"".",,,,N/a
Bodoni,awvloan-041,yes,SLab,,Type,Metal type,Lead,Ultra Italic,30pt,,✅,,,,,no,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used packaging when arrived, labeled ""LC / 675K"" in red pencil or pen",,,,N/a
Copperplate,awvloan-042,yes,SLab,,Type,Metal type,Lead,"Unknown (ripped, so TBD)","Unknown (ripped, so TBD)",,✅,Yes,,,,no,no,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used Detroit Type Foundry packaging when arrived.",,,,N/a
Crayonette,awvloan-043,yes,SLab,,Type,Metal type,Lead,,18pt,,✅,,,,,no,,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used ""typefounders inc. foundry type"" packaging when arrived.",,,,N/a
Crayonette,awvloan-044,yes,SLab,,Type,Metal type,Lead,,18pt,,✅,,,,,no,,,no,Yes,Brian Browning (Michigan),From 1/23/2025 Letterpress Friend donor shipment. ,"In unopened, never-used ""typefounders inc. foundry type"" packaging when arrived.",,,,N/a
"Unknown typeface in ""30pt [illegible]"" brown paper packaging",awvloan-045,yes,SLab,,Type,Metal type,Lead,,30pt,,✅,,,,,Large,,,,,Brian Browning (Michigan),From 2/6/2025 Letterpress Friend donor shipment.,,,,,N/a
2 x spacing organization wooden trays,awvloan-046,yes,SLab,,Not type,Tools,Wood,,,"~16"" x 10"" each",,,,,,,,,,,Brian Browning (Michigan),From 2/27/2025 Letterpress Friend donor shipment #3.,,,,n/a,
11 full-size California type drawers,awvloan-047,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,John and Nancy Johnson (VA),"From 2/18/2025 2nd Letterpress Helper (DC suburbs) donated, Jeremy picked up in car, brought to Amanda's for refurbishment and cleaning and type distribution & cabinet holder building, before deciding where to put in SLab (Summer 2025 goal?). Part of 14 total shelves from that donation, but 3 are listed on a separate line due to gross webs/nests that I didn't feel up to cleaning out yet, so those 3 are taped over and stored in my basement. These 11 are stored in my living room currently.",,,,n/a,
Type cabinet #1 (full of California cases),awvloan-048,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,,,n/a,
"Type cabinet #2 (full of ""Hamilton 2/3 Dearing"" cases)",awvloan-049,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff). ","See this link for the correct layout for this Hamilton ""2/3 Dearing Job Case"": http://www.alembicpress.co.uk/Typecases/ATDCASE.HTM",,,n/a,
Tabletop C&P Pilot platen press,awvloan-050,yes,AWV,,Not type,Press,Iron,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",Currently in need of refurbishment; not yet ready to print with.,Yes,,n/a,
Table for C&P Pilot press,awvloan-051,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,,,n/a,
Planer block #2,awvloan-052,yes,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,,,,,,n/a,
Galley trays x 3,awvloan-053,yes,AWV,,Not type,Tools,Steel?,,,,,,,,,,,,,,,,,,,n/a,
Chase (as part of awvloan-050 C&P press),awvloan-054,yes,AWV,,Not type,Tools,Iron,,,,,,,,,,,,,,,,,,,n/a,
Slug cutter #2,awvloan-055,no,AWV,,Not type,Tools,Iron,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,Yes,,,
Wood reglets organizer & reglets (many),awvloan-056,no,AWV,,Not type,Tools,Wood,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,,,n/a,
Large box of leading,awvloan-057,no,AWV,,Not type,Tools,Lead,,,,,,,,,,,,,,"Barbara Payne (Free Union, VA)","Part of 3/12/2025 donation to AWV by Barbara Payne (Letterpress Friend #3), a VABC alum; will move what SLab can take there, probably Summer 2025. AWV paid for movers out of pocket ($320) and is doing heavy cleaning (some really nested-in/bug encrusted stuff).",,,,n/a,
"Unnamed sans serif (""Hamilton Slab Black Condensed"")",slab-001,yes,SLab,,Type,Wood type,Wood,Regular,TBD,"10 pica / 10 line; 1-5/8 inches"" tall",✅ (?),yes,no,yes,yes,no,no,yes,"6, 9",no,,,"* Inexpensive ($150), unlovely, don't have to be precious with it.
* 150 characters
* ""Looks similar to Rockwell Extra Bold Condensed but some characteristics aren't a match. Possibly Not an official specimen. Accordingly, IDing as Slab Face Black Condensed but Not using a specific font name.""",Yes,,,N/a
Visual braille,slab-002,yes,SLab,,Type,Metal type,Lead?,Regular,TBD,28.5 points (see Notes),✅,yes,no,no,yes,no,no,no,no,no,,,"* ""This 'visual font' was created in order to increase awareness of braille and allow sighted people to experience braille.""
* This version of braille is ""basic"" or ""Grade I braille. (""Advanced braille uses many contractions to augment the a-z alphabet in order to make the text much more compact. Making a metal face of advanced braille would entail a far larger character count."")
* How to use visual braille type (from Swamp Press type foundry website):
-Each character has an identification mark on the shoulder, which does not print, but allows for easy setting, distribution and proofing.
-Spacing: all printed braille is 0.245"" wide in set, so spaces are included in my fonts. Regular 24 pt spacing can also be used.
-Leading: the official standard for vertical height of the braille cell is 0.4"" or 28.5 points, which for letterpress is very, very inconvenient. So I recommend using 4 pts leading and if one wants to be persnickety add in another half point.
-Capitals: a special character denotes that the following character is capitalized. In this font ""•C•"" on the shoulder means ""Cap"".
-Numerals: numerals are created by adding the numeral character (# on the shoulder) before the letter """" for the numeral 1, ""b"" following means 2, and so on. So ""#a#b"" indicates the numeral ""12"".
* More info: https://www.swamppress.com/braille-unique.html",Yes,,,Multilingual
Embossing braille,slab-003,yes,SLab,,Type,Metal type,Lead?,Regular,TBD,28.5 points (see Notes),✅,yes,no,no,yes,no,no,no,no,no,,,"* This version of braille is ""basic"" or ""Grade I braille. (""Advanced braille uses many contractions to augment the a-z alphabet in order to make the text much more compact. Making a metal face of advanced braille would entail a far larger character count."")
* How to use embossing braille type (from Swamp Press type foundry website): 
-Setting: on the shoulder of the type is the character identification in relief, and this will not emboss but aids in setting, proofing and redistribution.
-Spacing: all printed braille is 0.245"" wide in set, so spaces are included in my fonts. Regular 24 pt spacing can also be used.
-Leading: the official standard for vertical height of the braille cell is 0.4"" which is 28.5 points, which for letterpress is very inconvenient. So I recommend using 4 pts leading and if one wants to be persnickety add in another half point.
-Capitals: a special character denotes that the following character is capitalized. In this font ""•C•"" on the shoulder means ""Cap."" Numerals: numerals are -created by adding the numeral character (# on the shoulder) before the letter ""a"" for the numeral 1, ""b"" following is 2, and so on. So ""#a#b"" indicates the numeral ""12"".
* More info: https://www.swamppress.com/braille-embossing.html",Yes,,,Multilingual
"""Build Now: you will have Nothing to regret"" & background illustration",slab-004,yes,SLab,,Not type,Mixed type/illustration,Copper,,,"4"" wide x 2"" tall",✅ (?),,,,,,,,,,,,"Useful for the DH coding and makerspace ""building"" I and Scholars' Lab do.",Yes,,,Making/craft/building
"""Building activity is justified as never before"" and background forest illustration",slab-005,yes,SLab,,Not type,Mixed type/illustration,Copper,,,"4"" wide x 2"" tall",✅ (?),,,,,,,,,,,,"Useful for the DH coding and makerspace ""building"" I and Scholars' Lab do.",Yes,,,Making/craft/building
"""Our experienced building advice is yours for the asking"" with background illustration of two suited men looking at documents",slab-006,yes,SLab,,Not type,Mixed type/illustration,Copper,,,"4"" wide x 2"" tall",✅ (?),,,,,,,,,,,,"Useful for the DH coding and makerspace ""building"" I and Scholars' Lab do.",Yes,,,Making/craft/building
"""Electrifying History""",slab-007,yes,SLab,,Not type,Mixed type/illustration,Lead,,,"3"" wide x .5"" tall",✅ (?),,,,,,,,,,,,,Yes,,,"Humanities, Retro tech, DH"
"""Information""",slab-008,yes,SLab,,Not type,Mixed type/illustration,Lead,,,"2"" wide x 7/16"" tall",✅ (?),,,,,,,,,,,,,Yes,,,DH
COFFEE,slab-009,yes,SLab,,Not type,Catchword or lone sort,Lead?,,,,❌,,,,,,,,,,,,,Yes,,,Baking/cooking
"""LOOK!!""",slab-010,yes,SLab,,Not type,Catchword or lone sort,Copper?,,,"5"" wide x 7/8"" tall",✅ (?),,,,,,,,,,,,,Yes,,,Enthusiast
BookBeetle,slab-011,yes,SLab,,Not type,Press,Wood,,,,,,,,,,,,,,,,Purchased by SLab between 2021-2023.,Yes,,n/a,N/a
"[Box of type & spacing, to sort and divide into ID'd items here]",,no,AWV,,,,,,,,,,,,,,,,,,John and Nancy Johnson (VA),"* From 3/18/2025 2nd Letterpress Helper (DC suburbs, John & Nancy Johnson) donated, Jeremy picked up in car, brought to Amanda's for cleaning and type distribution, before deciding where to put in SLab (Summer 2025 goal?).",,n/a,,,
"[Box of type & spacing & blocks, to sort and divide into ID'd items here]",,no,AWV,,,,,,,,,,,,,,,,,,Brian Browning (Michigan),From 3/18/2025 Letterpress Friend (Brian Browning) shipment,,n/a,,,
